project,_id,key,issuetype_name,priority_name,status_name,age_days,watch_count,votes_count,has_assignee,components_count,comment_count,status_changes_count
SPARK,13563270,SPARK-46552,Sub-task,Major,Resolved,36,1,0,1,1,1,1
SPARK,13563302,SPARK-46553,Bug,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563304,SPARK-46554,Improvement,Minor,Resolved,0,1,0,1,1,1,1
SPARK,13563310,SPARK-46555,Sub-task,Major,Resolved,0,1,0,1,2,1,1
SPARK,13563312,SPARK-46556,Sub-task,Major,Resolved,0,1,0,1,2,1,1
SPARK,13563313,SPARK-46557,Sub-task,Major,Resolved,0,1,0,1,2,1,1
SPARK,13563315,SPARK-46558,Improvement,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563319,SPARK-46559,Improvement,Minor,Resolved,0,1,0,1,1,1,1
SPARK,13563321,SPARK-46560,Sub-task,Minor,Resolved,2,1,0,1,1,1,1
SPARK,13563322,SPARK-46561,Improvement,Minor,Resolved,0,1,0,0,2,0,1
SPARK,13563324,SPARK-46562,Bug,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563327,SPARK-46563,Improvement,Major,Resolved,1,1,0,1,1,1,1
SPARK,13563328,SPARK-46564,Bug,Major,Resolved,0,1,0,1,2,1,1
SPARK,13563333,SPARK-46565,Sub-task,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563334,SPARK-46566,Bug,Major,Open,102,1,0,0,1,0,0
SPARK,13563343,SPARK-46567,Improvement,Major,Resolved,1,1,0,1,1,1,1
SPARK,13563350,SPARK-46568,Sub-task,Major,Resolved,2,1,0,1,1,1,1
SPARK,13563358,SPARK-46569,Improvement,Major,Resolved,1,1,0,1,1,1,1
SPARK,13563382,SPARK-46570,Sub-task,Minor,Resolved,273,1,0,1,1,1,1
SPARK,13563400,SPARK-46571,Bug,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563406,SPARK-46572,New Feature,Major,Open,0,1,0,0,1,0,0
SPARK,13563409,SPARK-46573,Improvement,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563412,SPARK-46574,Sub-task,Minor,Resolved,127,1,0,1,1,1,1
SPARK,13563439,SPARK-46575,Bug,Major,Resolved,161,1,0,1,1,1,1
SPARK,13563442,SPARK-46576,Sub-task,Major,Resolved,15,1,0,1,1,1,1
SPARK,13563451,SPARK-46577,Bug,Major,Resolved,0,1,0,1,2,1,1
SPARK,13563458,SPARK-46578,Improvement,Major,Open,1,1,0,0,1,0,0
SPARK,13563489,SPARK-46579,Sub-task,Major,Resolved,68,1,0,1,1,1,1
SPARK,13563502,SPARK-46580,Task,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563503,SPARK-46581,Improvement,Major,Resolved,4,1,0,1,1,1,1
SPARK,13563505,SPARK-46582,Bug,Major,Reopened,0,1,0,0,2,2,2
SPARK,13563510,SPARK-46583,Bug,Major,Open,0,1,0,0,1,0,0
SPARK,13563511,SPARK-46584,Improvement,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563516,SPARK-46585,Improvement,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563519,SPARK-46586,Improvement,Major,Resolved,8,2,0,1,1,3,1
SPARK,13563521,SPARK-46587,Sub-task,Major,Resolved,0,1,0,1,1,1,1
SPARK,13563524,SPARK-46588,Question,Major,Resolved,8,2,0,0,1,2,1
SPARK,13563541,SPARK-46589,Improvement,Major,Open,101,1,0,1,1,0,0
SPARK,13563546,SPARK-46590,Bug,Major,Resolved,278,1,0,1,1,1,1
SPARK,13563556,SPARK-46591,Improvement,Minor,Resolved,0,1,0,0,1,0,1
SPARK,13563563,SPARK-46592,Test,Major,Resolved,0,1,0,1,2,1,1
SPARK,13563564,SPARK-46593,Sub-task,Minor,Resolved,5,1,0,1,2,2,3
SPARK,13563567,SPARK-46594,Improvement,Minor,Open,101,1,0,0,1,0,0
SPARK,13563578,SPARK-46595,Sub-task,Major,Resolved,0,1,0,1,2,1,1
